   1.0000000e-01   5.5004629e-02   6.7781205e-02   7.9904262e-02   4.5143183e-02   4.3016204e-02   4.3300344e-02
   1.5000000e-01   7.8065246e-02   1.0207098e-01   1.2414995e-01   5.6468160e-02   5.4148383e-02   5.3761705e-02
   2.0000000e-01   1.0332594e-01   1.4261118e-01   1.7062948e-01   6.5922256e-02   6.4971097e-02   6.3689468e-02
   2.5000000e-01   1.2941537e-01   1.7163242e-01   2.1387023e-01   7.4932179e-02   7.0327836e-02   7.3114138e-02
   3.0000000e-01   1.5451362e-01   2.1407419e-01   2.5431593e-01   8.3239923e-02   8.0742673e-02   8.3281443e-02
   3.5000000e-01   1.7992094e-01   2.4592273e-01   3.1320995e-01   9.0572421e-02   8.7220877e-02   1.0002916e-01
   4.0000000e-01   2.0291709e-01   2.8362748e-01   3.4466874e-01   9.5928279e-02   9.6989508e-02   1.0505677e-01
   4.5000000e-01   2.2784943e-01   3.1348129e-01   3.8715737e-01   1.0126246e-01   1.0125486e-01   1.2875894e-01
   5.0000000e-01   2.6673974e-01   3.4366101e-01   4.1927700e-01   1.1000396e-01   1.1184148e-01   1.3091987e-01
   5.5000000e-01   2.9004710e-01   3.9053429e-01   4.5465687e-01   1.1512211e-01   1.2214749e-01   1.3913883e-01
   6.0000000e-01   3.0078912e-01   4.2003603e-01   5.0143402e-01   1.1866487e-01   1.2873155e-01   1.5227522e-01
   6.5000000e-01   3.2009485e-01   4.5057174e-01   5.4588239e-01   1.2240298e-01   1.3161701e-01   1.6102825e-01
   7.0000000e-01   3.5345475e-01   4.7927034e-01   5.7368303e-01   1.3104521e-01   1.3547075e-01   1.7356785e-01
   7.5000000e-01   3.9355665e-01   4.9315575e-01   6.0392416e-01   1.3629393e-01   1.3835599e-01   1.7256245e-01
   8.0000000e-01   3.9955370e-01   5.6509971e-01   6.4081711e-01   1.3576629e-01   1.5518831e-01   1.8416891e-01
   8.5000000e-01   4.3358429e-01   5.8184868e-01   6.8591831e-01   1.4468946e-01   1.5841157e-01   1.9799607e-01
   9.0000000e-01   4.5097405e-01   6.0420308e-01   7.0797933e-01   1.4734339e-01   1.5976987e-01   1.9806588e-01
   9.5000000e-01   4.7460332e-01   6.4525957e-01   7.3266053e-01   1.4961694e-01   1.6617753e-01   1.9753414e-01
   1.0000000e+00   4.8280475e-01   6.6164272e-01   7.5974120e-01   1.5130319e-01   1.7399575e-01   2.0525388e-01
